"SRC","EPSG","Hemisferio"
"NAD83 / Texas Central (ftUS)",2277,"unknown"
"NAD83 / Texas South Central (ftUS)",2278,"unknown"
"NAD83 / Texas South (ftUS)",2279,"unknown"
"NAD83 / Utah North (ft)",2280,"unknown"
"NAD83 / Utah Central (ft)",2281,"unknown"
"NAD83 / Utah South (ft)",2282,"unknown"
"NAD83 / Virginia North (ftUS)",2283,"unknown"
"NAD83 / Virginia South (ftUS)",2284,"unknown"
"NAD83 / Washington North (ftUS)",2285,"unknown"
"NAD83 / Washington South (ftUS)",2286,"unknown"
"NAD83 / Wisconsin North (ftUS)",2287,"unknown"
"NAD83 / Wisconsin Central (ftUS)",2288,"unknown"
"NAD83 / Wisconsin South (ftUS)",2289,"unknown"
"ATS77 / Prince Edward Isl. Stereographic (ATS77)",2290,"unknown"
"ATS77 / MTM Nova Scotia zone 4",2294,"unknown"
"ATS77 / MTM Nova Scotia zone 5",2295,"unknown"
"Ammassalik 1958 / Greenland zone 7 east",2296,"unknown"
"Qornoq 1927 / Greenland zone 2 west",2299,"unknown"
"Qornoq 1927 / Greenland zone 3 west",2301,"unknown"
"Qornoq 1927 / Greenland zone 4 west",2303,"unknown"
"Qornoq 1927 / Greenland zone 5 west",2304,"unknown"
"Qornoq 1927 / Greenland zone 6 west",2305,"unknown"
"Qornoq 1927 / Greenland zone 7 west",2306,"unknown"
"Qornoq 1927 / Greenland zone 8 east",2307,"unknown"
"Batavia / TM 109 SE",2308,"unknown"
"WGS 84 / TM 116 SE",2309,"unknown"
"WGS 84 / TM 132 SE",2310,"unknown"
"WGS 84 / TM 6 NE",2311,"unknown"
"Garoua / UTM zone 33N",2312,"unknown"
"Kousseri / UTM zone 33N",2313,"unknown"
"Trinidad 1903 / Trinidad Grid (ftCla)",2314,"unknown"
"Campo Inchauspe / UTM zone 19S",2315,"unknown"
"Campo Inchauspe / UTM zone 20S",2316,"unknown"
"PSAD56 / ICN Regional",2317,"unknown"
"Ain el Abd / Aramco Lambert",2318,"unknown"
"ED50 / TM27",2319,"unknown"
"ED50 / TM30",2320,"unknown"
"ED50 / TM33",2321,"unknown"
"ED50 / TM36",2322,"unknown"
"ED50 / TM39",2323,"unknown"
"ED50 / TM42",2324,"unknown"
"ED50 / TM45",2325,"unknown"
"Hong Kong 1980 Grid System",2326,"unknown"
"Xian 1980 / Gauss-Kruger zone 13",2327,"unknown"
"Xian 1980 / Gauss-Kruger zone 14",2328,"unknown"
"Xian 1980 / Gauss-Kruger zone 15",2329,"unknown"
"Xian 1980 / Gauss-Kruger zone 16",2330,"unknown"
"Xian 1980 / Gauss-Kruger zone 17",2331,"unknown"
"Xian 1980 / Gauss-Kruger zone 18",2332,"unknown"
"Xian 1980 / Gauss-Kruger zone 19",2333,"unknown"
"Xian 1980 / Gauss-Kruger zone 20",2334,"unknown"
"Xian 1980 / Gauss-Kruger zone 21",2335,"unknown"
"Xian 1980 / Gauss-Kruger zone 22",2336,"unknown"
"Xian 1980 / Gauss-Kruger zone 23",2337,"unknown"
"Xian 1980 / Gauss-Kruger CM 75E",2338,"unknown"
"Xian 1980 / Gauss-Kruger CM 81E",2339,"unknown"
"Xian 1980 / Gauss-Kruger CM 87E",2340,"unknown"
"Xian 1980 / Gauss-Kruger CM 93E",2341,"unknown"
"Xian 1980 / Gauss-Kruger CM 99E",2342,"unknown"
"Xian 1980 / Gauss-Kruger CM 105E",2343,"unknown"
"Xian 1980 / Gauss-Kruger CM 111E",2344,"unknown"
"Xian 1980 / Gauss-Kruger CM 117E",2345,"unknown"
"Xian 1980 / Gauss-Kruger CM 123E",2346,"unknown"
"Xian 1980 / Gauss-Kruger CM 129E",2347,"unknown"
"Xian 1980 / Gauss-Kruger CM 135E",2348,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 25",2349,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 26",2350,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 27",2351,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 28",2352,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 29",2353,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 30",2354,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 31",2355,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 32",2356,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 33",2357,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 34",2358,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 35",2359,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 36",2360,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 37",2361,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 38",2362,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 39",2363,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 40",2364,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 41",2365,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 42",2366,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 43",2367,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 44",2368,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger zone 45",2369,"unknown"
"Xian 1980 / 3-degree Gauss-Kruger CM 75E",2370,"unknown"
